rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
74,frame_0185.jpg,74.0,0.5955,0.8924,0.4444,0.08,13,4,False,False
75,frame_0221.jpg,88.4,0.5949,0.6938,0.6667,0.24,11,6,False,False
76,frame_0194.jpg,77.6,0.5939,0.6758,0.6667,0.28,7,6,False,False
77,frame_0007.jpg,2.8,0.5928,0.519,0.4444,1.0,5,4,False,False
78,frame_0287.jpg,114.8,0.5924,0.7129,0.3333,0.68,8,3,False,False
79,frame_0318.jpg,127.2,0.5906,0.6852,0.6667,0.24,10,6,False,False
80,frame_0222.jpg,88.8,0.5904,0.9009,0.3333,0.2,9,3,False,False
81,frame_0028.jpg,11.2,0.5895,0.6456,0.2222,1.0,7,2,False,False
82,frame_0396.jpg,158.4,0.5882,0.779,0.5556,0.16,10,5,False,False
83,frame_0131.jpg,52.4,0.5855,0.587,0.3333,0.96,9,3,False,False
84,frame_0017.jpg,6.8,0.584,0.5681,0.3333,1.0,5,3,False,False
85,frame_0093.jpg,37.2,0.5789,0.7952,0.4444,0.24,7,4,False,False
86,frame_0116.jpg,46.4,0.5787,0.8801,0.2222,0.36,9,2,False,False
87,frame_0303.jpg,121.2,0.5763,0.6752,0.5556,0.36,10,5,False,False
88,frame_0370.jpg,148.0,0.5763,0.67,0.7778,0.04,9,7,False,False
89,frame_0329.jpg,131.6,0.5762,0.7204,0.6667,0.08,14,6,False,False
90,frame_0327.jpg,130.8,0.5757,0.8688,0.4444,0.04,14,4,False,False
91,frame_0377.jpg,150.8,0.5753,0.7692,0.5556,0.12,10,5,False,False
92,frame_0308.jpg,123.2,0.5731,0.7488,0.5556,0.16,9,5,False,False
93,frame_0300.jpg,120.0,0.5727,0.82,0.2222,0.48,9,2,False,False
94,frame_0180.jpg,72.0,0.5713,0.7105,0.6667,0.08,9,6,False,False
95,frame_0223.jpg,89.2,0.571,0.7446,0.5556,0.16,10,5,False,False
96,frame_0211.jpg,84.4,0.5703,0.618,0.4444,0.64,6,4,False,False
97,frame_0014.jpg,5.6,0.5696,0.6725,0.1111,1.0,6,1,False,False
